અયોધાતુ,અ-યોધા-તુ
સિક્યૉરિટી,સિક્યૉરિટી
ઉલૂક,ઉલૂક
મુઝાર,મુઝાર
અદળ્યું,અદળ્યું
ડૈયું,ડૈયું
એણે,એણે
કર્કોટક,કર્કોટક
શત્રુઘ્ન,શત્-રુઘ્-ન
અધિકારત્યાગ,અ-ધિ-કારત્યા-ગ
ફણગાળું,ફણ-ગાળું
રિપોર્ટ,રિપોર્ટ
કળવળ,કળવળ
ઇસ્મત,ઇસ્મત
ઓપટી,ઓ-પ-ટી
ચૂંધી,ચૂંધી
ગુંજ્યત્વ,ગુંજ્-યત્-વ
પ્રતિષ્ઠિત,પ્ર-તિષ્-ઠિત
ડસડસી,ડ-સડ-સી
એડો,એડો
પ્રાણમયતા,પ્રાણમય-તા
તેમણે,તેમ-ણે
ભવિષ્યવાદ,ભ-વિષ્-યવાદ
માથાફોડિયું,મા-થાફોડિ-યું
કામઠિયો,કામઠિયો
ખસર,ખસર
ગારાળું,ગા-રા-ળું
ચેરો,ચેરો
બલાબલ,બ-લાબલ
સેવાળવું,સે-વાળ-વું
ભિડાવવું,ભિ-ડાવ-વું
ઠકરાણો,ઠક-રા-ણો
ઊંજણ,ઊંજણ
કામક્રીડા,કામક્રીડા
જલાંજલિ,જલાંજલિ
ચરણાકુળ,ચર-ણાકુ-ળ
ગોપનીય,ગો-પની-ય
ગળટડો,ગળટડો
નાટકવેડા,ના-ટકવેડા
યોજનીય,યો-જ-ની-ય
બાજંદું,બાજંદું
હીનત્વ,હીનત્-વ
અનિવૃત્ત,અ-નિ-વૃત્-ત
ઘિલોડું,ઘિ-લો-ડું
જહાંપનાહ,જહાંપ-નાહ
માયાવિની,મા-યાવિની
નિર્ધારણવાચક,નિર્-ધારણ-વા-ચક
પૌર્ણિમા,પૌર્-ણિ-મા
ગંધકાયિત,ગંધકાયિત
ધારણાંપારણાં,ધારણાંપારણાં
અધ્યાત્મવાદી,અધ્યાત્-મ-વા-દી
યમરાત્રિ,યમ-રાત્રિ
ત્રિકાસ્થિ,ત્રિ-કા-સ્થિ
મદ્ગુ,મદ્ગુ
ગેંદાલ,ગેં-દા-લ
ફટાક,ફ-ટાક
તડપડાટ,તડપ-ડાટ
ચક્રવૃદ્ધિ,ચક્ર-વૃદ્ધિ
આયરાણી,આયરા-ણી
દુંદુભિ,દુંદુભિ
વચનભંગ,વ-ચનભંગ
નૃયજ્ઞ,નૃ-યજ્-ઞ
સૂરી,સૂરી
વીરજ,વીરજ
ટૂંકું,ટૂંકું
અન્યોન્યાત્મક,અન્યોન્યાત્-મક
દૌરો,દૌરો
જનમટીપ,જનમ-ટીપ
ઔપાધિક,ઔપાધિક
અટળાઈ,અટળાઈ
નિર્ણયકારક,નિર્-ણય-કારક
સમઘાત,સ-મઘાત
ભાતીગળ,ભાતી-ગળ
આશ્મ,આશ્-મ
સમૂહલગ્ન,સ-મૂહલગ્-ન
સપ્રયોજન,સ-પ્ર-યો-જન
વસતી,વસતી
યાત્રાધામ,યાત્રા-ધામ
કંદ્રૂપ,કંદ્રૂપ
દૂઝણ,દૂઝણ
દદડવું,દદડ-વું
કવલ,ક-વ-લ
આત્મસંબંદ્ધ,આત્-મ-સં-બંદ્ધ
ઝલમલ,ઝલમલ
કલ્પાવું,કલ્પા-વું
નયનવિષય,નયનવિ-ષય
ઇબાદતગાહ,ઇબાદત-ગાહ
કીકલાવું,કીક-લા-વું
અબનૂસ,અ-બનૂસ
ઉઘાડાવું,ઉ-ઘાડા-વું
સાંઈડું,સાંઈડું
પ્રભાવશીલતા,પ્ર-ભાવશીલતા
સરકસ,સરકસ
આત્મનિષ્ઠા,આત્-મ-નિષ્-ઠા
ધામોડો,ધા-મોડો
તુંબ,તુંબ
જ્યોતિષ્મતી,જ્યો-તિષ્મ-તી
ઘંટાઘર,ઘંટાઘર
ઇફેક્ટ,ઇફેક્ટ
એટિકેટ,એટિકેટ
અતિદેહી,અ-તિદેહી
ડાળખી,ડાળખી
અજ્ઞાનતા,અજ્-ઞાન-તા
શમિયાનો,શમિ-યાનો
નીતિરીતિ,ની-તિરીતિ
અકબક,અક-બક
ઈસ્વી,ઈસ્વી
શીરાઝ,શીરાઝ
ઉટકંટો,ઉટકંટો
રોયલી,રોયલી
ભુવન,ભુવન
ઠા,ઠા
ગૌરીજ,ગૌ-રી-જ
તૉતેર,તૉતેર
મુદ્રણકળા,મુદ્રણક-ળા
પ્રતિપ્રવિષ્ટિ,પ્ર-તિપ્ર-વિષ્-ટિ
ગૅલરી,ગૅલરી
પિતાજી,પિ-તાજી
દુમાટો,દુમાટો
અશોકવનિકાન્યાય,અશોકવ-નિ-કાન્યાય
લાલિત્ય,લા-લિત્-ય
એકરંગ,એકરંગ
વિશ્વામિત્ર,વિશ્-વા-મિત્-ર
પ્રયુક્તિ,પ્રયુક્તિ
કુંવારકા,કું-વાર-કા
જહ્નુસુતા,જહ્નુસુતા
વડારો,વ-ડા-રો
દેહબંધ,દેહબંધ
ઉપહત,ઉપહત
કઢાપો,કઢાપો
આદેશન,આ-દેશન
અધર્માચરણી,અધર્-માચર-ણી
હસ્તતલ,હસ્-તતલ
પરત્વ,પરત્-વ
શૂર,શૂર
ઉદીચ્ય,ઉદી-ચ્ય
ચોકાધર્મ,ચોકા-ધર્-મ
ભદ્રાક્ષ,ભદ્રા-ક્-ષ
રિસાવવું,રિ-સાવ-વું
તુષારપર્વત,તુષાર-પર્-વત
રેંટિયાબારશ,રેંટિયાબારશ
ઇનામચોથાઈ,ઇ-નામ-ચો-થાઈ
પુંકેસર,પુંકેસર
લિસોટી,લિ-સો-ટી
ઇતિત્યલમ્,ઇ-તિત્-યલ-મ્
છાકમછોળ,છાકમછોળ
સુપરસૉનિક,સુપરસૉનિક
પર્જન્યાસ્ર,પર્-જન્યાસ્-ર
ફરહરવું,ફર-હર-વું
દીર્ઘસૂત્રી,દીર્-ઘસૂત્રી
વરસાવું,વર-સા-વું
ઝૂમખું,ઝૂમખું
ભક્તરાજ,ભક્ત-રાજ
ઉમરાવજાદો,ઉ-મ-રાવ-જાદો
આશંકાવું,આશં-કા-વું
તિર્યક,તિ-ર્-યક
રૂઢિજન્ય,રૂઢિ-જન્-ય
સાંગ્રામિક,સાંગ્રામિક
રાજગૃહ,રાજગૃ-હ
વલ્લંસલ્લમ,વલ્-લં-સલ્-લમ
ખડ,ખડ
અમાન્ય,અ-માન્-ય
અચાપલ,અ-ચાપ-લ
ક્ષિતિપાલ,ક્-ષિ-તિપાલ
અવશુકનિયું,અવશુકનિયું
ભાગળિયો,ભાગળિ-યો
ફણો,ફણો
પકડહુકમ,પકડહુ-કમ
અઘરાળું,અ-ઘ-રા-ળું
જવાબદાર,જ-વાબ-દાર
અવલંબમાન,અવલંબમાન
અતિસારકું,અ-તિસાર-કું
આજ્ઞાનુરૂપ,આ-જ્-ઞાનુ-રૂપ
અઠ્ઠયાવીસી,અ-ઠ્ઠયાવીસી
ફંગોળાવવું,ફં-ગોળાવ-વું
અંતઃપ્રસન્નતા,અં-તઃ-પ્રસન્-ન-તા
માઇગ્રેન,મા-ઇગ્-રે-ન
ગ્રહણશીલતા,ગ્રહણશીલતા
ઉનારવું,ઉ-ના-ર-વું
તહકૂબ,તહકૂબ
હિસારવ,હિ-સાર-વ
હાઇડ્રૉઇલેક્ટ્રિક,હાઇડ્રૉઇલેક્ટ્રિક
વેતાળગૃહ,વે-તાળગૃ-હ
ફટો,ફટો
વાપરમાલ,વા-પર-માલ
પદવિધારી,પદવિ-ધા-રી
સર્વતોભદ્ર,સર્-વતોભદ્ર
નક્કોર,નક્કોર
અગ્નીય,અગ્ની-ય
અર્થવિતરણ,અર્-થ-વિતરણ
બેરત,બેરત
અડબૂત,અડબૂત
લોભાવનહારી,લો-ભાવન-હા-રી
અભ્યર્થન,અભ્-યર્-થન
અડાઅડી,અડાઅડી
અપરસ,અપરસ
ઍરક્રાફ્ટ,ઍરક્-રાફ્ટ
પદડી,પદ-ડી
દુરવસ્થા,દુ-ર-વસ્થા
કૂથો,કૂથો
આત્મવિજય,આત્-મવિ-જ-ય
માલજામિન,માલ-જામિ-ન
જોભો,જોભો
ચક્ર્ક,ચક્ર્-ક
રાંકદાવો,રાંક-દા-વો
મત્સ્યોદર,મત્સ્યો-દર
દટ્ટી,દટ્ટી
જંગપરસ્ત,જં-ગપરસ્-ત
પીયૂષ,પીયૂષ
કૃષ્ણમંડળ,કૃષ્-ણ-મંડળ
દહીંથરું,દ-હીંથ-રું
પૂંભડું,પૂંભડું
તદ્યુક્ત,તદ્યુક્ત
મ્લેચ્છાચાર,મ્લેચ્-છાચાર
ક્રાઇમ,ક્-રાઇમ
ડુક્કર,ડુક્કર
સ્પિનર,સ્-પિનર
લહેજત,લ-હેજત
ચલથાટ,ચ-લથાટ
દીપ્તતા,દીપ્-તતા
પથરાણ,પથ-રાણ
વિવેકજ્ઞાન,વિ-વેકજ્-ઞા-ન
ઝુલાવનહાર,ઝુ-લાવન-હાર
શેહમાત,શેહ-માત
ધ્યાનબહેરું,ધ્યાનબ-હે-રું
રહેવાસ,ર-હે-વાસ
અધિનેતા,અ-ધિને-તા
છબો,છબો
વખર,વ-ખર
વૈશ્વાનર,વૈ-શ્-વાનર
અરુંધતીદર્શન,અ-રુંધ-તી-દર્-શન
તર્કપટુ,તર્-કપ-ટુ
સાબૂતી,સા-બૂ-તી
શૈલેશ,શૈલેશ
મર્દવું,મર્-દ-વું
અનાગ્રહી,અ-નાગ્રહી
વાયેલ,વાયેલ
દુર્દાન્ત,દુર્-દાન્-ત
વિદ્વત્તા,વિદ્વત્તા
અસંયમી,અ-સં-યમી
ડિસેંબર,ડિસેંબર
બિસમાર,બિસ-માર
વિરેચન,વિરેચન
સુલતાન,સુ-લતાન
ગાર્ડનપાર્ટી,ગાર્ડન-પાર્ટી
ધૂર્ત,ધૂ-ર્-ત
અસદુપાય,અ-સદુપાય
કચકચારો,કચક-ચા-રો
કોલવું,કોલ-વું
સાંઠીકડું,સાં-ઠીક-ડું
બટા,બ-ટા
ઇન્સ્ટ્રુમૅન્ટ,ઇન્સ્ટ્રુમૅન્ટ
કંપીલો,કંપીલો
નિબદ્ધ,નિબદ્ધ
માતંગ,મા-તં-ગ
સરખાવટ,સર-ખાવટ
મયપરસ્ત,મય-પરસ્-ત
અસેવન,અસે-વન
લોકકવિતા,લોક-ક-વિ-તા
સ્ફૂર્તિલું,સ્ફૂર્-તિલું
ઉઘરાવાવું,ઉઘ-રાવા-વું
નિર્દંભ,નિર્દંભ
મનમોહન,મન-મોહન
ચંડાળચોકડી,ચંડાળચોક-ડી
તેજપત્ર,તેજપત્-ર
જળતાડન,જળ-તાડ-ન
વતાડવું,વ-તાડ-વું
પાંજરી,પાંજ-રી
આયોજના,આ-યો-જ-ના
હુલ્લસિત,હુલ્-લ-સિત
પ્રતિપાદિની,પ્ર-તિપાદિ-ની
બહાદુર,બ-હાદુ-ર
વસા,વ-સા
જરીફ,જ-રીફ
ચટકાટવું,ચટ-કાટ-વું
તબલીઘ,ત-બલીઘ
રાખેલો,રાખેલો
આળવાળ,આ-ળ-વાળ
ફેચો,ફેચો
ઊષા,ઊષા
વઘરડું,વઘર-ડું
આંતર્ય,આં-તર્-ય
પઢતમૂર્ખ,પઢતમૂર્ખ
અજટા,અજટા
ઓપાવવું,ઓ-પાવ-વું
કંતામણ,કંતા-મણ
હિરણ્યગર્ભ,હિ-રણ્-ય-ગર્-ભ
સણસારવું,સણ-સાર-વું
રંગદર્શિતાવાદ,રંગદર્શિતા-વાદ
ઔષ્ણ્ય,ઔ-ષ્ણ્-ય
બાકરવડી,બાકર-વ-ડી
આરોગ્યશાલા,આ-રોગ્-ય-શા-લા
જુવાળ,જુ-વાળ
ચાડિયું,ચા-ડિ-યું
ફેંકાવું,ફેં-કા-વું
મહોદય,મ-હો-દય
આંખઆગળ,આંખઆગળ
ઝળમળાટ,ઝળ-મ-ળાટ
અશરણ,અ-શરણ
ડીંટિયું,ડીં-ટિ-યું
અધિગમનીય,અ-ધિગમ-ની-ય
ઊંચેનું,ઊંચેનું
ગોખલિયું,ગોખલિ-યું
નાચકો,નાચ-કો
સિંહલું,સિંહલું
સત્યાગ્રહાશ્રમ,સત્યા-ગ્ર-હાશ્રમ
ગોરસડું,ગોરસડું
